assetId,serial,name,locationX,locationY
I543860-2024,,Laptop Dell Latitude 5520,61.00,104.00
A544236-2024,,Projektor Epson EB-X41,61.00,-45.00
F544540-2024,,KrzesL,o biurowe Ergonomic Pro,92.00,148.00
I544820-2024,,Monitor Samsung 27'' 4K,-38.00,137.00
T545096-2024,,Wiertarka Black & Decker,104.00,116.00
P545376-2024,,Kamera Canon EOS R6,80.00,95.00
I545644-2024,,Tablet iPad Pro 12.9'',-49.00,141.00
O545920-2024,,Drukarka HP LaserJet Pro,118.00,50.00
A546208-2024,,Mikrofon Shure SM7B,108.00,-32.00
I546476-2024,,Laptop MacBook Pro M2,-20.00,-35.00
N546740-2024,,Router Cisco ISR 4331,46.00,1.00
I547020-2024,,Szafa rack 42U,-25.00,101.00
I547300-2024,,Laptop testowy 1,6.00,28.00
I547608-2024,,Monitor testowy,-43.00,71.00
P547869-2024,,Kamera testowa,129.00,35.00
